ds,ts
2012-01-21,10.0
2012-01-22,3.0
2012-01-23,16.0
2012-01-24,11.0
2012-01-25,6.0
2012-01-26,9.0
2012-01-27,7.0
2012-01-28,2.0
2012-01-29,14.0
2012-01-30,13.0
2012-01-31,5.0
2012-02-01,9.0
2012-02-02,5.0
2012-02-03,4.0
2012-02-04,6.0
2012-02-05,4.0
2012-02-06,6.0
2012-02-07,8.0
2012-02-08,6.0
2012-02-09,4.0
2012-02-10,6.0
2012-02-11,8.0
2012-02-12,7.0
2012-02-13,9.0
2012-02-14,13.0
2012-02-15,7.0
2012-02-16,7.0
2012-02-17,8.0
2012-02-18,7.0
2012-02-19,10.0
2012-02-20,11.0
2012-02-21,12.0
2012-02-22,9.0
2012-02-23,6.0
2012-02-24,7.0
2012-02-25,1.0
2012-02-26,11.0
2012-02-27,24.0
2012-02-28,22.0
2012-02-29,3.0
2012-03-01,10.0
2012-03-02,11.0
2012-03-03,6.0
2012-03-04,11.0
2012-03-05,19.0
2012-03-06,8.0
2012-03-07,19.0
2012-03-08,3.0
2012-03-09,8.0
2012-03-10,7.0
2012-03-11,11.0
2012-03-12,11.0
2012-03-13,12.0
2012-03-14,7.0
2012-03-15,11.0
2012-03-16,1.0
2012-03-17,22.0
2012-03-18,14.0
2012-03-19,14.0
2012-03-20,14.0
2012-03-21,12.0
2012-03-22,9.0
2012-03-23,10.0
2012-03-24,8.0
2012-03-25,9.0
2012-03-26,15.0
2012-03-27,15.0
2012-03-28,12.0
2012-03-29,12.0
2012-03-30,4.0
2012-03-31,7.0
2012-04-01,19.0
2012-04-02,15.0
2012-04-03,17.0
2012-04-04,12.0
2012-04-05,6.0
2012-04-06,5.0
2012-04-07,9.0
2012-04-08,8.0
2012-04-09,10.0
2012-04-10,4.0
2012-04-11,1.0
2012-04-12,26.0
2012-04-13,17.0
2012-04-14,10.0
2012-04-15,8.0
2012-04-16,12.0
2012-04-17,15.0
2012-04-18,15.0
2012-04-19,6.0
2012-04-20,16.0
2012-04-21,19.0
2012-04-22,15.0
2012-04-23,25.0
2012-04-24,6.0
2012-04-25,23.0
2012-04-26,12.0
2012-04-27,8.0
2012-04-28,15.0
2012-04-29,10.0
2012-04-30,19.0
2012-05-01,19.0
2012-05-02,12.0
2012-05-03,10.0
2012-05-04,9.0
2012-05-05,7.0
2012-05-06,13.0
2012-05-07,17.0
2012-05-08,11.0
2012-05-09,16.0
2012-05-10,9.0
2012-05-11,7.0
2012-05-12,12.0
2012-05-13,8.0
2012-05-14,20.0
2012-05-15,13.0
2012-05-16,9.0
2012-05-17,11.0
2012-05-18,10.0
2012-05-19,13.0
2012-05-20,16.0
2012-05-21,20.0
2012-05-22,25.0
2012-05-23,16.0
2012-05-24,16.0
2012-05-25,10.0
2012-05-26,10.0
2012-05-27,14.0
2012-05-28,20.0
2012-05-29,17.0
2012-05-30,20.0
2012-05-31,10.0
2012-06-01,9.0
2012-06-02,16.0
2012-06-03,11.0
2012-06-04,20.0
2012-06-05,9.0
2012-06-06,15.0
2012-06-07,13.0
2012-06-08,14.0
2012-06-09,28.0
2012-06-10,10.0
2012-06-11,28.0
2012-06-12,15.0
2012-06-13,14.0
2012-06-14,13.0
2012-06-15,13.0
2012-06-16,23.0
2012-06-17,13.0
2012-06-18,27.0
2012-06-19,19.0
2012-06-20,14.0
2012-06-21,10.0
2012-06-22,14.0
2012-06-23,19.0
2012-06-24,17.0
2012-06-25,24.0
2012-06-26,16.0
2012-06-27,9.0
2012-06-28,19.0
2012-06-29,17.0
2012-06-30,7.0
2012-07-01,19.0
2012-07-02,20.0
2012-07-03,24.0
2012-07-04,11.0
2012-07-05,11.0
2012-07-06,18.0
2012-07-07,17.0
2012-07-08,27.0
2012-07-09,23.0
2012-07-10,16.0
2012-07-11,15.0
2012-07-12,13.0
2012-07-13,13.0
2012-07-14,16.0
2012-07-15,19.0
2012-07-16,27.0
2012-07-17,24.0
2012-07-18,16.0
2012-07-19,22.0
2012-07-20,14.0
2012-07-21,17.0
2012-07-22,18.0
2012-07-23,29.0
2012-07-24,18.0
2012-07-25,16.0
2012-07-26,20.0
2012-07-27,13.0
2012-07-28,20.0
2012-07-29,20.0
2012-07-30,28.0
2012-07-31,27.0
2012-08-01,23.0
2012-08-02,19.0
2012-08-03,21.0
2012-08-04,14.0
2012-08-05,13.0
2012-08-06,26.0
2012-08-07,23.0
2012-08-08,22.0
2012-08-09,24.0
2012-08-10,24.0
2012-08-11,21.0
2012-08-12,29.0
2012-08-13,28.0
2012-08-14,28.0
2012-08-15,18.0
2012-08-16,29.0
2012-08-17,24.0
2012-08-18,24.0
2012-08-19,22.0
2012-08-20,39.0
2012-08-21,17.0
2012-08-22,16.0
2012-08-23,24.0
2012-08-24,22.0
2012-08-25,13.0
2012-08-26,19.0
2012-08-27,28.0
2012-08-28,25.0
2012-08-29,15.0
2012-08-30,25.0
2012-08-31,19.0
2012-09-01,24.0
2012-09-02,17.0
2012-09-03,25.0
2012-09-04,37.0
2012-09-05,17.0
2012-09-06,17.0
2012-09-07,12.0
2012-09-08,17.0
2012-09-09,20.0
2012-09-10,26.0
2012-09-11,15.0
2012-09-12,5.0
2012-09-13,6.0
2012-09-14,41.0
2012-09-15,4.0
2012-09-16,3.0
2012-09-17,53.0
2012-09-18,22.0
2012-09-19,27.0
2012-09-20,7.0
2012-09-21,17.0
2012-09-22,19.0
2012-09-23,16.0
2012-09-24,29.0
2012-09-25,22.0
2012-09-26,22.0
2012-09-27,13.0
2012-09-28,21.0
2012-09-29,21.0
2012-09-30,10.0
2012-10-01,47.0
2012-10-02,17.0
2012-10-03,16.0
2012-10-04,21.0
2012-10-05,10.0
2012-10-06,18.0
2012-10-07,11.0
2012-10-08,33.0
2012-10-09,22.0
2012-10-10,15.0
2012-10-11,14.0
2012-10-12,20.0
2012-10-13,10.0
2012-10-14,19.0
2012-10-15,28.0
2012-10-16,22.0
2012-10-17,11.0
2012-10-18,20.0
2012-10-19,17.0
2012-10-20,17.0
2012-10-21,24.0
2012-10-22,24.0
2012-10-23,4.0
2012-10-24,41.0
2012-10-25,15.0
2012-10-26,20.0
2012-10-27,15.0
2012-10-28,21.0
2012-10-29,34.0
2012-10-30,24.0
2012-10-31,9.0
2012-11-01,17.0
2012-11-02,20.0
2012-11-03,16.0
2012-11-04,22.0
2012-11-05,41.0
2012-11-06,3.0
2012-11-07,41.0
2012-11-08,21.0
2012-11-09,24.0
2012-11-10,14.0
2012-11-11,21.0
2012-11-12,31.0
2012-11-13,30.0
2012-11-14,6.0
